Molecule ChEMBL ID,Molecular Weight,AlogP,#RO5 Violations,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Smiles
CHEMBL453398,577.07,4.83,1.0,IC50,'=',190.0,nM,6.72,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Oc5ccccn5)c(Cl)c4)c3s2)C1)N1CCOCC1
CHEMBL3040806,355.4,4.81,0.0,IC50,'=',42.0,nM,7.38,c1ccc(-c2cccc(Nc3ncnc4cc5c(cc34)OCCO5)c2)cc1
CHEMBL460746,450.5,4.7,0.0,IC50,'=',280.0,nM,6.55,O=C(NC(=S)Nc1ccc(O)c(-c2nc3ccccc3s2)c1)c1ccc([N+](=O)[O-])cc1
CHEMBL4647257,966.89,5.48,3.0,IC50,'=',326.2,nM,6.49,CN(CCOS(=O)(=O)CCc1cn(CCCC(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)nn1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1
CHEMBL470011,468.99,6.35,1.0,IC50,'=',10.0,nM,8.0,Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCCCC5)cc4)sc23)cc1Cl
CHEMBL511637,470.96,5.2,1.0,IC50,'=',12.0,nM,7.92,Fc1ccc(Nc2ncnc3nc(Nc4ccc(CN5CCOCC5)cc4)sc23)cc1Cl
CHEMBL5397162,485.61,4.64,0.0,IC50,'=',256.0,nM,6.59,[2H]C([2H])([2H])n1cc(-c2ccnc(Nc3cc(NC(=O)CC)c4c(cnn4CCN(C)C)c3)n2)c2ccccc21
CHEMBL5431254,497.62,4.64,0.0,IC50,'=',261.0,nM,6.58,[2H]C([2H])([2H])n1cc(-c2ccnc(Nc3cc(NC(=O)C4CC4)c4c(cnn4CCN(C)C)c3)n2)c2ccccc21
CHEMBL5405341,588.74,5.08,2.0,IC50,'=',21.0,nM,7.68,CCC(=O)Nc1cc(Nc2nccc(-c3cn(S(=O)(=O)CC)c4ccccc34)n2)cc2cnn(CCN(CC)CC)c12
CHEMBL5408941,513.96,5.96,2.0,IC50,'=',92.0,nM,7.04,CN(C)CCn1ncc2cc(Nc3ncc(C(F)(F)F)c(-c4cn(C)c5ccccc45)n3)cc(Cl)c21
CHEMBL4246256,284.34,3.02,0.0,IC50,'=',52110.0,nM,4.28,Oc1cccc(Nc2nnnc3sc4c(c23)CCC4)c1
CHEMBL6246,302.19,1.31,0.0,IC50,'=',690.0,nM,6.16,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23
CHEMBL4469866,513.96,4.42,1.0,IC50,'=',8.7,nM,8.06,C=CC(=O)N(c1cccc(Cl)c1F)c1ncnc2cc(OC)c(OC(=O)N3CCN(C)C[C@H]3C)cc12
CHEMBL4448162,463.37,4.79,0.0,IC50,'=',1.0,nM,9.0,COc1cc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2cc1OCCCN1CCOCC1
CHEMBL1944641,470.02,5.76,1.0,IC50,'=',81600.0,nM,4.09,Cc1ccc(-n2c(SCC(=O)Nc3ccccc3Cl)nc3sc(C)c(C)c3c2=O)cc1
CHEMBL169200,367.45,2.32,0.0,IC50,'=',900.0,nM,6.05,COc1cccc(-c2cn(C3CCN(CCO)CC3)c3ncnc(N)c23)c1
CHEMBL4852664,520.6,4.85,1.0,IC50,'=',0.41,nM,9.39,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCN/C(=N\C#N)Nc4cccnc4)cc23)c1
CHEMBL5632112,329.36,3.95,0.0,IC50,'=',34030.0,nM,4.47,O=C(Nc1ccccc1)c1ccc(Nc2ncnc3[nH]ccc23)cc1
CHEMBL3785393,435.41,2.64,0.0,IC50,'=',47.0,nM,7.33,C=CC(=O)N1C[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]ccc23)[C@@H](C(F)(F)F)C1
CHEMBL3786523,445.91,2.37,0.0,IC50,'=',8.0,nM,8.1,C=CC(=O)N1C[C@H](COC)[C@@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1
CHEMBL3786812,469.93,2.61,0.0,IC50,'=',16.0,nM,7.8,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1
CHEMBL495733,557.07,5.58,2.0,IC50,'=',120.0,nM,6.92,CS(=O)(=O)N1CCC[C@@H]1C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1
CHEMBL500115,573.07,4.86,1.0,IC50,'=',81.0,nM,7.09,CS(=O)(=O)O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1
CHEMBL499534,607.11,4.93,1.0,IC50,'=',63.0,nM,7.2,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1)N1CCNCC1
CHEMBL466615,566.06,5.59,2.0,IC50,'=',79.0,nM,7.1,CN(C)C(=O)O[C@@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3s2)C1
CHEMBL505896,610.69,5.63,2.0,IC50,'=',1700.0,nM,5.77,COc1cc2c(Oc3ccc(-c4cnc(Cc5ccccc5)n(C)c4=O)cc3F)ccnc2cc1OCCCN1CCOCC1
CHEMBL5180070,399.88,5.37,1.0,IC50,'=',3034.0,nM,5.52,COc1cc2ncnc3c2cc1OCCCCCCOc1c(Cl)cccc1N3
CHEMBL5195531,399.88,5.37,1.0,IC50,'=',738.6,nM,6.13,COc1cc2ncnc3c2cc1OCCCCCCOc1ccc(Cl)cc1N3
CHEMBL502015,444.34,5.79,1.0,IC50,'=',1240.0,nM,5.91,Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc4ccccc4c3)[nH]c2n1
CHEMBL3699581,515.49,5.0,2.0,IC50,'=',65.0,nM,7.19,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCOCC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL513716,434.45,3.5,0.0,IC50,'=',187.0,nM,6.73,NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4c(F)cccc4F)c3s2)cc1
CHEMBL5780633,570.6,5.29,2.0,IC50,'=',550.0,nM,6.26,C=CC(=O)Nc1cccc(Nc2nc(Nc3ccc(OCCOCCNC(=O)OC(C)(C)C)c(F)c3)ncc2F)c1
CHEMBL5898708,437.5,6.19,1.0,IC50,'=',55.0,nM,7.26,C=CC(=O)Nc1cccc(Nc2ncc(C)c(Nc3ccc(Oc4ccccc4)cc3)n2)c1
CHEMBL219557,552.46,6.18,2.0,IC50,'=',230.0,nM,6.64,COc1cc(Nc2c(C#N)cnc3cc(-c4coc(CN5CCN(C)CC5)c4)c(OC)cc23)c(Cl)cc1Cl
CHEMBL4448428,480.9,4.76,0.0,IC50,'=',32.5,nM,7.49,CC(C)=CC[C@@H](OC(=O)/C=C\C(=O)c1ccc(Cl)cc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O
CHEMBL4225565,515.69,4.95,1.0,IC50,'=',529.0,nM,6.28,CN1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n([C@H]5CC[C@H](O)CC5)c4n3)cc2)CC1
CHEMBL4226151,501.66,4.82,1.0,IC50,'=',892.0,nM,6.05,CN1CCN(c2ccc(Nc3ncc4nc(Sc5ccccc5)n(C5CCOCC5)c4n3)cc2)CC1
CHEMBL247024,460.58,5.57,1.0,IC50,'=',2530.0,nM,5.6,N#Cc1cnc2ccc(-c3ccc(CN4CCOCC4)cc3)cc2c1N[C@@H]1C[C@H]1c1ccccc1
CHEMBL248391,450.54,5.49,1.0,IC50,'=',173.0,nM,6.76,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(C#N)cnc2cc1OCCCc1cccnc1
CHEMBL248222,450.54,5.49,1.0,IC50,'=',68.0,nM,7.17,COc1cc2ncc(C#N)c(N[C@@H]3C[C@H]3c3ccccc3)c2cc1OCCCc1cccnc1
CHEMBL3699601,559.05,3.88,1.0,IC50,'=',20.0,nM,7.7,C=CC(=O)Nc1cccc(Oc2nc(Nc3ccc(N4CCN(S(C)(=O)=O)CC4)cc3OC)ncc2Cl)c1
CHEMBL4227091,612.48,4.29,1.0,IC50,'=',4.7,nM,8.33,C=CC(=O)Nc1cc(Nc2ncc3ncn(-c4ccc(I)cc4)c3n2)c(OC)cc1N(C)CCN(C)C
CHEMBL4226965,472.55,3.74,0.0,IC50,'=',48.0,nM,7.32,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCN(C)CC4)cc3)n2)c1
CHEMBL4227278,459.51,3.83,0.0,IC50,'=',87.0,nM,7.06,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1
CHEMBL4226254,640.67,5.32,2.0,IC50,'=',270.0,nM,6.57,C=CC(=O)Nc1cccc(NC(=O)Nc2nc(Nc3ccc(N4CCC(N5CCOCC5)CC4)cc3OC)ncc2C(F)(F)F)c1
CHEMBL2337364,362.19,4.88,0.0,IC50,'=',38900.0,nM,4.41,Nc1nc(Nc2ccc(Cl)cc2F)c2c(n1)[nH]c1cccc(Cl)c12
CHEMBL4225191,530.63,4.53,1.0,IC50,'=',82.0,nM,7.09,C=CC(=O)Nc1cccc(NC(=O)Nc2ccnc(Nc3ccc(N4CCC(N(C)C)CC4)cc3OC)n2)c1
CHEMBL3612598,560.99,5.64,2.0,IC50,'=',660.0,nM,6.18,CCOC(=O)CCCn1c(=O)oc2cc3ncnc(Nc4ccc(C(=O)OCc5ccc(Cl)cc5)cc4)c3cc21
CHEMBL5430547,633.82,6.2,2.0,IC50,'=',33.0,nM,7.48,CCS(=O)(=O)N1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccc5c(ccn5CCN(C)C)c4)n3)s2)CC1
CHEMBL504117,591.09,4.61,1.0,IC50,'=',50.0,nM,7.3,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c3s2)C1)N1CCOCC1
CHEMBL457250,558.69,4.53,1.0,IC50,'=',1650.0,nM,5.78,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc(Sc5ccccn5)cc4)c3s2)C1)N1CCOCC1
CHEMBL5439200,445.96,4.94,0.0,IC50,'=',71.0,nM,7.15,CN(C)CCn1ncc2cc(Nc3ncc(Cl)c(-c4cn(C)c5ccccc45)n3)ccc21
CHEMBL452768,634.77,4.24,2.0,IC50,'=',150.0,nM,6.82,O=C(O[C@H]1CN[C@H](C#Cc2cc3ncnc(Nc4ccc5c(ccn5S(=O)(=O)c5ccsc5)c4)c3s2)C1)N1CCOCC1
CHEMBL5419101,638.79,5.52,2.0,IC50,'=',71.0,nM,7.15,CCS(=O)(=O)N1CCC(c2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccc(N5CCOCC5)cc4OC)n3)s2)CC1
CHEMBL255438,467.51,4.89,0.0,IC50,'=',23.0,nM,7.64,Nc1ncnc(Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)c1/C=N/OCc1ccccc1
CHEMBL430031,433.49,4.35,0.0,IC50,'=',32.0,nM,7.5,CC(C)CO/N=C/c1c(N)ncnc1Nc1ccc2c(cnn2Cc2cccc(F)c2)c1
CHEMBL255291,309.73,2.44,0.0,IC50,'=',1123.0,nM,5.95,CO/N=C/c1c(N)ncnc1NCc1ccc(F)c(Cl)c1
CHEMBL4162882,374.44,4.24,0.0,IC50,'=',17.0,nM,7.77,CC/C=C/C(=O)Nc1cc2c(N3CCc4ccccc43)ncnc2cc1OC
CHEMBL4161396,443.55,4.31,0.0,IC50,'=',45.4,nM,7.34,COc1cc2ncnc(N3CCc4ccccc43)c2cc1NC(=O)/C=C/CN1CCCCC1
CHEMBL4175045,541.66,4.5,1.0,IC50,'=',349.9,nM,6.46,C=CC(=O)Nc1cc(Nc2nccc(Nc3ccccc3-c3ccn(C)n3)n2)c(OC)cc1N(C)CCN(C)C
CHEMBL3979176,479.54,4.97,0.0,IC50,'=',169.0,nM,6.77,C=CC(=O)Nc1ccc(C2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)cc1
CHEMBL3890068,461.52,3.2,0.0,IC50,'=',0.63,nM,9.2,C=CC(=O)Nc1ccccc1C1CCNc2c(C(N)=O)c(-c3ccc(OCCOC)cc3)nn21
CHEMBL251732,543.08,5.01,2.0,IC50,'=',65.0,nM,7.19,Nc1ncnc2c1c(-c1ccc3nc(Cc4ccccc4Cl)[nH]c3c1)nn2[C@H]1CC[C@H](N2CCOCC2)CC1
CHEMBL443098,609.78,4.69,1.0,IC50,'=',58.0,nM,7.24,COCCCN1CCN([C@H]2CC[C@H](n3nc(-c4ccc5nc(Cc6ccccc6OC)[nH]c5c4)c4c(N)ncnc43)CC2)CC1
CHEMBL4450843,533.63,5.76,2.0,IC50,'=',1061.0,nM,5.97,CN(C)C/C=C/C(=O)Nc1cccc(-c2c(-c3ccccc3)oc3ncnc(N[C@@H](CO)c4ccccc4)c23)c1
CHEMBL4102284,420.56,4.14,0.0,IC50,'=',3900.0,nM,5.41,Cc1nc(C)c(/C=C2\CN(C(C)C)C/C(=C\c3nc(C)c(C)nc3C)C2=NO)nc1C
CHEMBL4469453,383.88,6.4,1.0,IC50,'=',2750.0,nM,5.56,Fc1ccc(COC(c2cccs2)c2cc3ccccc3nc2Cl)cc1
CHEMBL4552429,571.75,5.3,2.0,IC50,'=',511.0,nM,6.29,C=CC(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C
CHEMBL4446546,599.81,6.08,2.0,IC50,'=',1248.0,nM,5.9,CC/C=C\C(=O)Nc1cc(Nc2nc3c(c(-c4cn(C)c5ccccc45)n2)CSCC3)c(OC)cc1N(C)CCN(C)C
CHEMBL3897723,414.9,5.82,1.0,IC50,'=',5.4,nM,8.27,COc1ccc(/C=C/C(=N/Nc2nncc3ccccc23)c2ccc(Cl)cc2)cc1
CHEMBL3937949,265.27,3.07,0.0,IC50,'=',6.2,nM,8.21,O=C(O)c1ccc(Nc2nncc3ccccc23)cc1
CHEMBL3896476,329.82,3.6,0.0,IC50,'=',64.0,nM,7.19,S=C(NNc1nncc2ccccc12)Nc1ccc(Cl)cc1
CHEMBL3921710,315.4,2.69,0.0,IC50,'=',23.0,nM,7.64,CCCCN1C(=O)CS/C1=N/Nc1nncc2ccccc12
CHEMBL3977192,219.27,0.79,0.0,IC50,'=',77.0,nM,7.11,NC(=S)NNc1nncc2ccccc12
CHEMBL5190227,387.82,3.82,0.0,IC50,'=',6302.0,nM,5.2,COc1cc2ncnc3c2cc1OCCOCCOc1cc(Cl)cc(c1)N3
CHEMBL5185330,353.38,3.17,0.0,IC50,'=',685.2,nM,6.16,COc1cc2ncnc3c2cc1OCCOCCOc1ccccc1N3
CHEMBL250925,320.39,4.6,0.0,IC50,'=',15.0,nM,7.82,CCOc1cc2ncnc(/C=C/c3ccccc3)c2cc1OCC
CHEMBL4129607,653.79,3.62,2.0,IC50,'=',14.0,nM,7.85,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1
CHEMBL3085374,348.4,2.99,0.0,IC50,'=',9.0,nM,8.05,COc1cc2ncnc(C#C[C@](C)(O)Cc3ccccc3)c2cc1OC
CHEMBL346553,648.76,7.5,2.0,IC50,'=',6100.0,nM,5.21,COC(=O)c1ccc(C(=O)c2c(SSc3c(C(=O)c4ccc(C(=O)OC)cc4)c4ccccc4n3C)n(C)c3ccccc23)cc1
